
Node_APA-01

INTERFACE;DESCRIPTION;CAPACIDADE TOTAL(MBPS);MAX(MBPS);MIN(MBPS);AVG(MBPS);BANDA TOTAL UTILIZADA 99TH PERCENTIL(%); ACIMA DE 80%; ACIMA DE 95%;TEMPO ESTIMADO DE UTILIZACAO ACIMA DE 95%(MIN)
Integrated-Cable0/0/7-downstream20;;37;28.86;0.39;10.83;68.07;0;0;0
Integrated-Cable0/0/7-downstream18;;37;28.98;0.37;10.75;67.63;0;0;0
Integrated-Cable0/0/7-downstream19;;37;28.97;0.41;10.88;69.03;0;0;0
Integrated-Cable0/0/7-downstream16;;37;28.84;0.4;10.93;67.85;0;0;0
Integrated-Cable0/0/7-downstream17;;37;28.88;0.37;10.81;67.84;0;0;0
Integrated-Cable0/0/7-downstream14;;37;34.25;0.58;12.55;82.74;17;0;0
Integrated-Cable0/0/7-downstream15;;37;34.31;0.62;12.72;82.17;18;0;0
Integrated-Cable0/0/7-downstream12;;37;34.2;0.61;12.7;82.77;17;0;0
Integrated-Cable0/0/7-downstream13;;37;34.28;0.57;12.57;83.11;19;0;0
Integrated-Cable0/0/7-downstream10;;37;34.42;0.57;12.6;82.71;17;0;0
Integrated-Cable0/0/7-downstream11;;37;34.22;0.62;12.78;82.95;18;0;0
Integrated-Cable0/0/7-downstream4;;37;31.81;0.67;12.69;76.3;4;0;0
Integrated-Cable0/0/7-downstream5;;37;31.76;0.64;12.55;76.14;4;0;0
Integrated-Cable0/0/7-downstream6;;37;31.75;0.63;12.54;76.15;4;0;0
Integrated-Cable0/0/7-downstream7;;37;31.83;0.67;12.7;76.27;4;0;0
Integrated-Cable0/0/7-downstream0;;37;31.82;0.68;12.77;76.54;5;0;0
Integrated-Cable0/0/7-downstream1;;37;31.71;0.65;12.64;76.29;4;0;0
Integrated-Cable0/0/7-downstream2;;37;31.72;0.64;12.59;76.27;4;0;0
Integrated-Cable0/0/7-downstream3;;37;31.84;0.68;12.76;76.44;4;0;0
Integrated-Cable0/0/7-downstream8;;37;34.25;0.62;12.76;82.96;20;0;0
Integrated-Cable0/0/7-downstream9;;37;34.41;0.6;12.67;83.33;17;0;0


Node_BVK/ROM-01

INTERFACE;DESCRIPTION;CAPACIDADE TOTAL(MBPS);MAX(MBPS);MIN(MBPS);AVG(MBPS);BANDA TOTAL UTILIZADA 99TH PERCENTIL(%); ACIMA DE 80%; ACIMA DE 95%;TEMPO ESTIMADO DE UTILIZACAO ACIMA DE 95%(MIN)
Modular-Cable8/1/0-downstream10;RFGW10-Channel_8/2.3-GbE_0;37;25.08;0.27;8.81;57.84;0;0;0
Modular-Cable8/1/0-downstream11;RFGW10-Channel_8/2.4-GbE_0;37;24.36;0.27;8.08;54.84;0;0;0
Modular-Cable8/1/0-downstream12;RFGW10-Channel_8/2.5-GbE_0;37;24.29;0.26;8.04;54.83;0;0;0
Modular-Cable8/1/0-downstream13;RFGW10-Channel_8/2.6-GbE_0;37;24.08;0.26;8.02;54.65;0;0;0
Modular-Cable8/1/0-downstream14;RFGW10-Channel_8/2.7-GbE_0;37;24.25;0.26;8.01;54.93;0;0;0
Modular-Cable8/1/0-downstream15;RFGW10-Channel_8/2.8-GbE_0;37;24.19;0.26;8.0;54.19;0;0;0
Modular-Cable8/1/2-downstream0;RFGW10-Channel_8/3.9-GbE8/11;37;29.81;0.18;7.49;63.03;1;0;0
