
Node_APA-01

INTERFACE;DESCRIPTION;CAPACIDADE TOTAL(MBPS);MAX(MBPS);MIN(MBPS);AVG(MBPS);BANDA TOTAL UTILIZADA 99TH PERCENTIL(%); ACIMA DE 80%; ACIMA DE 95%;TEMPO ESTIMADO DE UTILIZACAO ACIMA DE 95%(MIN)
Integrated-Cable0/0/0-downstream12;;37;27.48;0.61;10.91;61.81;0;0;0
Integrated-Cable0/0/0-downstream11;;37;27.44;0.6;10.89;62.2;0;0;0
Integrated-Cable0/0/0-downstream10;;37;27.32;0.55;10.72;61.87;0;0;0
Integrated-Cable0/0/0-downstream17;;37;32.28;1.23;12.94;74.13;7;0;0
Integrated-Cable0/0/0-downstream16;;37;32.26;1.27;13.06;74.25;7;0;0
Integrated-Cable0/0/0-downstream15;;37;27.33;0.6;10.81;61.27;0;0;0
Integrated-Cable0/0/0-downstream14;;37;27.4;0.57;10.61;61.42;0;0;0


Node_BRA-02

INTERFACE;DESCRIPTION;CAPACIDADE TOTAL(MBPS);MAX(MBPS);MIN(MBPS);AVG(MBPS);BANDA TOTAL UTILIZADA 99TH PERCENTIL(%); ACIMA DE 80%; ACIMA DE 95%;TEMPO ESTIMADO DE UTILIZACAO ACIMA DE 95%(MIN)
Integrated-Cable0/0/6-downstream19;;37;27.53;0.76;12.46;68.66;0;0;0
Integrated-Cable0/0/6-downstream18;;37;27.61;0.73;12.31;68.39;0;0;0
Integrated-Cable0/0/6-downstream15;;37;27.54;0.88;12.03;70.33;0;0;0
Integrated-Cable0/0/6-downstream14;;37;27.34;0.81;11.88;70.08;0;0;0
Integrated-Cable0/0/6-downstream17;;37;27.62;0.73;12.34;68.61;0;0;0
Integrated-Cable0/0/6-downstream16;;37;27.73;0.75;12.53;68.6;0;0;0
Integrated-Cable0/0/6-downstream11;;37;27.35;0.89;12.07;70.84;0;0;0
Integrated-Cable0/0/6-downstream10;;37;27.35;0.82;11.94;70.25;0;0;0
Integrated-Cable0/0/6-downstream13;;37;27.37;0.81;11.9;70.45;0;0;0
Integrated-Cable0/0/6-downstream12;;37;27.53;0.88;12.0;70.71;0;0;0
Integrated-Cable0/0/6-downstream20;;37;27.66;0.74;12.41;68.54;0;0;0
Integrated-Cable0/0/6-downstream21;;37;27.52;0.72;12.36;68.26;0;0;0
Integrated-Cable0/0/6-downstream22;;37;27.74;0.71;12.27;68.8;0;0;0
Integrated-Cable0/0/6-downstream23;;37;27.66;0.74;12.44;68.9;0;0;0
Integrated-Cable0/0/6-downstream5;;37;33.7;0.4;14.31;81.12;15;0;0
Integrated-Cable0/0/6-downstream4;;37;33.67;0.42;14.42;81.92;17;0;0
Integrated-Cable0/0/6-downstream7;;37;33.72;0.42;14.43;81.75;17;0;0
Integrated-Cable0/0/6-downstream6;;37;33.71;0.4;14.3;81.93;16;0;0
Integrated-Cable0/0/6-downstream1;;37;33.73;0.4;14.35;81.23;17;0;0
Integrated-Cable0/0/6-downstream0;;37;34.13;0.42;14.47;82.57;15;0;0
